Subj,DiffCol,Black
1,39.64,37.53
2,44.26,42.02
3,33.84,31.99
4,53.88,39.48
5,38.94,43.09
6,48.77,36.00
7,31.56,47.98
8,35.24,46.95
9,47.77,36.11
10,41.75,40.97
11,39.37,44.00
12,46.20,45.48
13,47.05,47.36
14,43.13,41.00
15,44.61,37.57
16,38.70,36.27
17,37.47,48.12
18,44.66,40.50
19,40.83,42.92
20,54.30,38.24
21,54.33,38.72
22,51.37,38.97
23,50.22,34.32
24,34.30,30.72
25,46.44,41.27
26,37.90,39.33
27,43.39,41.22
28,44.83,37.73
29,36.77,38.65
30,36.99,46.91
31,36.64,41.16
32,51.25,38.18
33,46.73,42.59
34,46.84,46.51
35,46.91,44.32
36,41.61,30.53
37,39.14,43.63
38,48.94,45.26
39,34.20,39.95
40,44.63,43.69
41,41.86,35.17
42,46.57,52.21
43,42.79,42.25
44,39.70,40.53
45,51.64,34.37
46,54.88,42.83
47,47.10,42.58
48,36.34,40.96
49,40.42,35.73
50,41.23,44.49
51,37.29,39.10
52,47.33,38.06
53,36.30,39.33
54,46.98,38.42
55,51.97,44.96
56,45.45,38.05
57,31.57,32.54
58,37.85,50.24
59,29.13,39.35
60,43.45,50.50
61,44.40,29.85
62,45.37,39.57
63,36.14,46.06
64,44.52,47.13
65,51.11,44.50
66,45.64,41.68
67,45.04,39.79
68,56.55,40.03
69,42.14,45.48
70,44.85,47.01
