date;series_g
JAN 1949;112
FEB 1949;118
MAR 1949;132
APR 1949;129
MAY 1949;121
JUN 1949;135
JUL 1949;148
AUG 1949;148
SEP 1949;136
OCT 1949;119
NOV 1949;104
DEC 1949;118
JAN 1950;115
FEB 1950;126
MAR 1950;141
APR 1950;135
MAY 1950;125
JUN 1950;149
JUL 1950;170
AUG 1950;170
SEP 1950;158
OCT 1950;133
NOV 1950;114
DEC 1950;140
JAN 1951;145
FEB 1951;150
MAR 1951;178
APR 1951;163
MAY 1951;172
JUN 1951;178
JUL 1951;199
AUG 1951;199
SEP 1951;184
OCT 1951;162
NOV 1951;146
DEC 1951;166
JAN 1952;171
FEB 1952;180
MAR 1952;193
APR 1952;181
MAY 1952;183
JUN 1952;218
JUL 1952;230
AUG 1952;242
SEP 1952;209
OCT 1952;191
NOV 1952;172
DEC 1952;194
JAN 1953;196
FEB 1953;196
MAR 1953;236
APR 1953;235
MAY 1953;229
JUN 1953;243
JUL 1953;264
AUG 1953;272
SEP 1953;237
OCT 1953;211
NOV 1953;180
DEC 1953;201
JAN 1954;204
FEB 1954;188
MAR 1954;235
APR 1954;227
MAY 1954;234
JUN 1954;264
JUL 1954;302
AUG 1954;293
SEP 1954;259
OCT 1954;229
NOV 1954;203
DEC 1954;229
JAN 1955;242
FEB 1955;233
MAR 1955;267
APR 1955;269
MAY 1955;270
JUN 1955;315
JUL 1955;364
AUG 1955;347
SEP 1955;312
OCT 1955;274
NOV 1955;237
DEC 1955;278
JAN 1956;284
FEB 1956;277
MAR 1956;317
APR 1956;313
MAY 1956;318
JUN 1956;374
JUL 1956;413
AUG 1956;405
SEP 1956;355
OCT 1956;306
NOV 1956;271
DEC 1956;306
JAN 1957;315
FEB 1957;301
MAR 1957;356
APR 1957;348
MAY 1957;355
JUN 1957;422
JUL 1957;465
AUG 1957;467
SEP 1957;404
OCT 1957;347
NOV 1957;305
DEC 1957;336
JAN 1958;340
FEB 1958;318
MAR 1958;362
APR 1958;348
MAY 1958;363
JUN 1958;435
JUL 1958;491
AUG 1958;505
SEP 1958;404
OCT 1958;359
NOV 1958;310
DEC 1958;337
JAN 1959;360
FEB 1959;342
MAR 1959;406
APR 1959;396
MAY 1959;420
JUN 1959;472
JUL 1959;548
AUG 1959;559
SEP 1959;463
OCT 1959;407
NOV 1959;362
DEC 1959;405
JAN 1960;417
FEB 1960;391
MAR 1960;419
APR 1960;461
MAY 1960;472
JUN 1960;535
JUL 1960;622
AUG 1960;606
SEP 1960;508
OCT 1960;461
NOV 1960;390
DEC 1960;432
