LUNGES;BITES;ZIGZAGS;NEST;SPINES;DNEST;BOUT;;;;;;;;;;;;
79,00;25,00;0,0;0,0;15,0;0,00;45,00;;;;;;;;;;;;
136,00;58,00;6,0;0,0;15,0;0,00;148,00;;;;;;;;;;;;
115,00;30,00;2,0;1,0;9,0;5,00;29,00;;;;;;;;;;;;
129,00;139,00;16,0;0,0;22,0;0,00;69,00;;;;;;;;;;;;
120,00;58,00;15,0;15,0;14,0;82,00;9,00;;;;;;;;;;;;
217,00;78,00;13,0;1,0;28,0;3,00;57,00;;;;;;;;;;;;
173,00;175,00;3,0;0,0;46,0;0,00;73,00;;;;;;;;;;;;
119,00;65,00;25,0;1,0;5,0;3,00;10,00;;;;;;;;;;;;
174,00;115,00;4,0;0,0;14,0;0,00;304,00;;;;;;;;;;;;
67,00;34,00;8,0;2,0;14,0;117,00;23,00;;;;;;;;;;;;
87,00;50,00;6,0;1,0;28,0;8,00;21,00;;;;;;;;;;;;
121,00;67,00;26,0;1,0;5,0;0,00;23,00;;;;;;;;;;;;
177,00;115,00;4,0;0,0;14,0;0,00;305,00;;;;;;;;;;;;
147,00;25,00;5,0;0,0;14,0;0,00;16,00;;;;;;;;;;;;
67,00;35,00;21,0;5,0;24,0;108,00;9,00;;;;;;;;;;;;
85,00;35,00;4,0;0,0;16,0;0,00;30,00;;;;;;;;;;;;
81,00;17,00;0,0;0,0;16,0;0,00;43,00;;;;;;;;;;;;
118,00;30,00;2,0;1,0;11,0;1,00;28,00;;;;;;;;;;;;
277,00;157,00;2,0;1,0;12,0;23,00;47,00;;;;;;;;;;;;
140,00;134,00;0,0;0,0;17,0;0,00;147,00;;;;;;;;;;;;
71,00;31,00;9,0;2,0;14,0;114,00;25,00;;;;;;;;;;;;
143,00;54,00;1,0;0,0;6,0;0,00;7,00;;;;;;;;;;;;
143,00;139,00;16,0;0,0;22,0;0,00;72,00;;;;;;;;;;;;
169,00;169,00;3,0;0,0;46,0;0,00;73,00;;;;;;;;;;;;
143,00;133,00;0,0;1,0;16,0;64,00;133,00;;;;;;;;;;;;
60,00;5,00;10,0;0,0;19,0;0,00;306,00;;;;;;;;;;;;
157,00;74,00;5,0;0,0;18,0;0,00;302,00;;;;;;;;;;;;
121,00;76,00;17,0;0,0;25,0;0,00;101,00;;;;;;;;;;;;
116,00;61,00;2,0;0,0;26,0;0,00;45,00;;;;;;;;;;;;
159,00;82,00;4,0;0,0;17,0;0,00;298,00;;;;;;;;;;;;
120,00;85,00;7,0;3,0;31,0;122,00;23,00;;;;;;;;;;;;
67,00;34,00;21,0;5,0;25,0;102,00;28,00;;;;;;;;;;;;
208,00;59,00;4,0;1,0;18,0;133,00;297,00;;;;;;;;;;;;
156,00;25,00;4,0;1,0;13,0;76,00;6,00;;;;;;;;;;;;
165,00;102,00;3,0;0,0;16,0;0,00;77,00;;;;;;;;;;;;
137,00;55,00;2,0;3,0;7,0;199,00;8,00;;;;;;;;;;;;
277,00;152,00;3,0;1,0;11,0;19,00;49,00;;;;;;;;;;;;
147,00;70,00;7,0;0,0;11,0;0,00;153,00;;;;;;;;;;;;
130,00;69,00;11,0;0,0;27,0;0,00;31,00;;;;;;;;;;;;
142,00;73,00;7,0;0,0;12,0;0,00;158,00;;;;;;;;;;;;
211,00;80,00;14,0;1,0;28,0;2,00;42,00;;;;;;;;;;;;
132,00;55,00;6,0;0,0;14,0;0,00;152,00;;;;;;;;;;;;
42,00;4,00;1,0;2,0;10,0;136,00;33,00;;;;;;;;;;;;
108,00;59,00;1,0;0,0;28,0;0,00;41,00;;;;;;;;;;;;
83,00;30,00;3,0;4,0;15,0;177,00;49,00;;;;;;;;;;;;
125,00;67,00;11,0;0,0;23,0;0,00;36,00;;;;;;;;;;;;
64,00;11,00;10,0;0,0;20,0;0,00;306,00;;;;;;;;;;;;
117,00;94,00;7,0;3,0;31,0;125,00;20,00;;;;;;;;;;;;
117,00;54,00;15,0;15,0;14,0;85,00;12,00;;;;;;;;;;;;
124,00;72,00;17,0;4,0;25,0;146,00;78,00;;;;;;;;;;;;
160,00;108,00;1,0;0,0;15,0;0,00;87,00;;;;;;;;;;;;
204,00;57,00;4,0;0,0;17,0;0,00;303,00;;;;;;;;;;;;
41,00;3,00;0,0;0,0;9,0;0,00;30,00;;;;;;;;;;;;
96,00;45,00;5,0;2,0;27,0;0,00;6,00;;;;;;;;;;;;
